Group	Supergroup	D1156_ampliconV4	D1156_ampliconV9	D1158_ampliconV4	D1158_ampliconV9	D1160_ampliconV4	D1160_ampliconV9	D1168_ampliconV4	D1168_ampliconV9	D1170_ampliconV4	D1170_ampliconV9	D1172_ampliconV4	D1172_ampliconV9	D1180_ampliconV4	D1180_ampliconV9	D1660_ampliconV4	D1660_ampliconV9	D1662_ampliconV4	D1662_ampliconV9	D1668_ampliconV4	D1668_ampliconV9	D1672_ampliconV4	D1672_ampliconV9	D1684_ampliconV4	D1684_ampliconV9	D2219_ampliconV4	D2219_ampliconV9	D2221_ampliconV4	D2221_ampliconV9	D2225_ampliconV4	D2225_ampliconV9	D2227_ampliconV4	D2227_ampliconV9	D2229_ampliconV4	D2229_ampliconV9	D864_ampliconV4	D864_ampliconV9	D866_ampliconV4	D866_ampliconV9	D868_ampliconV4	D868_ampliconV9	D870_ampliconV4	D870_ampliconV9	D872_ampliconV4	D872_ampliconV9	D874_ampliconV4	D874_ampliconV9	MP0878_mTags	MP0880_mTags	MP0882_mTags	MP0884_mTags	MP0886_mTags	MP0888_mTags	MP1154_mTags	MP1162_mTags	MP1164_mTags	MP1166_mTags	MP1174_mTags	MP1176_mTags	MP1178_mTags	MP1672_mTags	MP1674_mTags	MP1676_mTags	MP1682_mTags	MP1684_mTags	MP2233bis_mTags	MP2235_mTags	MP2239_mTags	MP2241_mTags	MP2243_mTags
"NA"	Obazoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	2	0	0	0	1	0	0	0	1	1	0	3	4	0	0	0	0	0	0	0
"NA"	Rhizaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
"NA"	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	295	169	4	30	8	145	42	16	2	5	2	6	2	4	4	5	3	9	3	1	6	3
Nephroselmidophyceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palmophyllophyceae	Archaeplastida	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pelagophyceae	Stramenopiles	0	0	0	0	0	0	0	0	42	10	3231	1363	0	0	0	0	0	0	0	0	898	880	1865	1487	0	3	0	0	0	11	1501	958	289	349	0	0	0	0	0	0	0	3	14	20	3279	2816	1	0	0	0	0	82	0	0	0	0	61	2	1	33	0	0	0	56	1	0	0	100	18
Perkinsidae	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Peronosporomycetes	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeophyceae	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Picozoa	Eukaryota	145	62	119	179	0	0	85	61	1526	358	887	255	590	158	0	0	0	0	88	44	16	57	290	177	388	49	594	31	49	13	214	87	538	316	15	21	0	0	294	125	79	63	172	157	537	369	0	0	3	0	7	8	3	2	4	5	7	3	10	5	0	1	2	11	6	2	0	4	6
Pirsonia	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polycystinea	Rhizaria	5488	10603	4084	3857	10282	6198	13437	3731	97	8	1554	252	25313	4982	64962	26775	36012	13637	55224	19424	59	202	28508	9198	4691	648	19080	3554	4977	3275	41885	8860	152	72	3148	2521	25858	9793	8174	3801	14435	5923	9758	7210	1202	3738	79	788	87	137	257	77	223	375	123	187	15	1	218	13	1210	613	1219	454	60	245	163	569	0
Prasino-Clade-IX	Archaeplastida	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	418	0	215	0	25	0	176	0	0	0	8	0	2072	0	51	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0
Prymnesiophyceae	Haptista	0	0	0	31	0	4	0	20	0	2783	0	1081	0	22	0	0	0	9	0	13	0	471	0	600	0	0	0	0	0	17	0	430	0	782	0	74	0	5	0	18	0	29	0	109	0	1000	2	2	2	2	6	46	0	0	2	2	69	66	2	48	0	0	3	47	1	1	4	85	35
Pycnococcaceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyramimonadales	Archaeplastida	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RAD-A	Rhizaria	0	0	6	10	0	0	11	14	0	2	921	377	43	15	0	0	0	0	0	4	32	5	546	168	75	0	0	0	24	0	235	88	71	31	11	0	0	0	0	16	0	0	0	13	253	302	1	0	0	2	2	6	0	0	0	0	32	0	1	5	0	0	0	20	0	0	1	6	2
RAD-B	Rhizaria	749	1726	1922	4119	901	1137	2485	1592	24	8	1976	1882	4485	1889	262	683	1041	687	749	963	175	310	1103	1204	8799	1775	6113	1122	615	1746	292	202	54	125	877	1293	372	648	2575	2695	1003	1309	933	2105	1079	1769	85	156	114	24	70	26	44	77	131	89	81	0	100	14	41	33	54	49	90	64	58	29	5
RAD-C	Rhizaria	0	0	22	4	0	0	18	22	0	0	135	81	261	47	0	0	0	0	12	0	0	0	65	68	162	6	204	0	0	0	14	15	0	0	7	0	0	12	38	42	0	0	0	29	53	44	1	0	0	1	3	1	1	1	1	1	3	0	3	0	0	2	1	4	1	2	2	1	0
Telonemia	Eukaryota	0	20	0	16	0	0	38	15	282	121	224	82	74	28	0	0	0	4	44	8	0	46	176	98	35	4	0	0	0	0	150	109	110	155	47	22	0	18	0	17	0	0	40	29	117	130	0	1	2	0	3	12	0	1	0	1	6	5	3	3	0	1	1	3	0	0	0	9	1
Trebouxiophyceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubulinea	Amoebozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X-Cell	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0
