Group	Supergroup	D1156_ampliconV4	D1156_ampliconV9	D1158_ampliconV4	D1158_ampliconV9	D1160_ampliconV4	D1160_ampliconV9	D1168_ampliconV4	D1168_ampliconV9	D1170_ampliconV4	D1170_ampliconV9	D1172_ampliconV4	D1172_ampliconV9	D1180_ampliconV4	D1180_ampliconV9	D1660_ampliconV4	D1660_ampliconV9	D1662_ampliconV4	D1662_ampliconV9	D1668_ampliconV4	D1668_ampliconV9	D1672_ampliconV4	D1672_ampliconV9	D1684_ampliconV4	D1684_ampliconV9	D2219_ampliconV4	D2219_ampliconV9	D2221_ampliconV4	D2221_ampliconV9	D2225_ampliconV4	D2225_ampliconV9	D2227_ampliconV4	D2227_ampliconV9	D2229_ampliconV4	D2229_ampliconV9	D864_ampliconV4	D864_ampliconV9	D866_ampliconV4	D866_ampliconV9	D868_ampliconV4	D868_ampliconV9	D870_ampliconV4	D870_ampliconV9	D872_ampliconV4	D872_ampliconV9	D874_ampliconV4	D874_ampliconV9	MP0878_mTags	MP0880_mTags	MP0882_mTags	MP0884_mTags	MP0886_mTags	MP0888_mTags	MP1154_mTags	MP1162_mTags	MP1164_mTags	MP1166_mTags	MP1174_mTags	MP1176_mTags	MP1178_mTags	MP1672_mTags	MP1674_mTags	MP1676_mTags	MP1682_mTags	MP1684_mTags	MP2233bis_mTags	MP2235_mTags	MP2239_mTags	MP2241_mTags	MP2243_mTags
Euglenida	Excavata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eustigmatales	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foraminifera	Rhizaria	0	0	0	23	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	74	0	3	0	2	0	0	0	0	8	0	0	0	1	0	1	0	0	0	1	0	0	4	4	0	0	8	0	0	0
Gracilipodida	Amoebozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ichthyosporea	Obazoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
InSedAlveolata	Alveolata	181	36	47	1451	62	30	86	268	139	763	53	1285	194	638	7	72	69	65	13	303	35	893	47	588	1147	170	223	29	10	232	87	572	156	350	172	196	0	28	90	477	36	161	9	1102	85	2005	1	0	1	0	0	0	2	1	2	1	3	0	0	0	0	1	2	3	5	2	0	2	1
InSedAmoebozoa	Amoebozoa	0	0	0	129	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	140	0	83	0	0	0	84	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InSedArchaeplastida	Archaeplastida	0	0	0	8	0	0	0	0	38	11	0	31	0	0	0	0	0	0	0	0	0	0	19	11	0	2	0	0	0	0	4	15	0	3	0	0	0	0	0	0	0	2	0	0	13	37	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1
InSedEukaryota	Eukaryota	0	1092	18	555	78	260	75	284	111	779	368	661	522	284	0	96	16	82	175	301	0	485	140	737	464	400	667	307	35	99	74	337	82	690	332	829	0	184	319	734	21	381	91	482	81	928	3	6	6	3	4	6	42	38	16	18	10	4	14	6	2	2	5	5	9	2	1	7	8
InSedExcavata	Excavata	0	0	0	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InSedHacrobia	Hacrobia	0	6	0	4	0	0	0	5	0	245	0	34	0	10	0	0	0	0	0	2	0	11	0	14	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	11	0	17	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InSedObazoa	Obazoa	0	39	18	74	0	58	27	3	45	0	0	7	21	8	0	3	0	15	41	11	0	9	0	10	0	19	0	0	0	32	0	1700	0	6	265	0	0	11	525	7	27	3	40	21	43	0	4	5	1	1	3	0	0	0	1	4	0	1	1	0	1	2	0	1	0	0	0	0	1
InSedOpisthokonta	Opisthokonta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InSedRhizaria	Rhizaria	0	53	0	111	0	124	0	4	0	3	0	43	0	47	0	44	0	17	0	26	0	0	0	52	0	30	0	0	0	41	0	5	0	6	0	19	0	43	0	55	0	130	0	79	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
InSedStramenopiles	Stramenopiles	133	0	0	28	0	0	28	0	0	110	217	137	124	14	13	5	33	19	68	14	18	50	0	102	87	10	172	16	13	45	25	29	0	213	14	0	0	0	30	27	13	21	20	14	257	615	0	2	2	0	5	5	3	1	3	2	5	1	5	2	4	0	3	1	2	0	4	1	0
Katablepharidae	Cryptista	0	0	0	0	0	0	0	0	132	36	0	18	0	0	0	0	0	0	0	0	0	7	21	20	0	0	0	0	0	0	29	23	18	44	0	5	0	0	0	0	0	4	0	0	0	18	0	0	0	0	1	3	0	0	0	1	2	4	0	0	0	0	0	1	0	0	0	11	0
Kinetoplastida	Excavata	0	728	0	1955	0	125	0	21	0	136	0	0	0	147	0	16	0	94	0	21	0	26	0	9	0	22	0	0	0	0	0	4	0	29	0	287	0	97	0	223	0	31	0	20	0	0	698	450	140	22	57	16	114	26	6	10	1	3	8	7	14	2	1	0	1	15	3	0	0
Labyrinthulomycetes	Stramenopiles	0	9	98	12	65	0	206	73	507	0	197	26	481	143	0	0	26	0	124	44	0	0	104	11	178	6	295	0	28	85	98	3	75	0	9	62	223	0	112	57	78	49	111	223	217	54	1	0	3	5	4	8	1	0	3	4	6	2	7	2	1	1	5	3	5	7	7	5	5
MALV-I	Alveolata	2024	1457	5806	2441	2012	923	6520	717	22610	2467	23861	2115	17713	1358	1178	189	3942	546	9089	1054	8049	2041	9992	1884	30517	2066	35074	1475	3802	1016	14835	2034	26275	3420	2405	1179	1484	390	9852	1545	6083	971	8311	1769	21291	3930	23	67	73	58	120	74	21	62	92	80	152	73	83	103	12	42	94	125	157	103	62	124	89
MALV-II	Alveolata	2662	2999	18769	12174	6268	3649	12770	2959	24273	3536	34501	4289	25109	3885	3096	1435	16731	3878	34259	7253	11328	3685	11869	2719	44646	3904	66122	4788	16404	5917	17902	3306	10645	3723	3726	2212	15622	5100	55941	17351	39577	11047	24918	12124	35821	10695	74	571	401	95	472	189	100	318	390	281	356	149	201	286	54	118	388	294	325	311	190	210	128
MALV-III	Alveolata	61	0	347	36	31	13	106	0	4138	282	4066	133	307	0	68	7	287	52	314	31	2053	93	1749	78	305	10	1981	0	178	81	3845	111	878	125	76	73	0	7	442	95	106	8	233	8	3821	250	2	2	3	3	10	13	1	3	7	3	39	5	3	23	0	0	6	19	3	9	4	34	12
MALV-IV	Alveolata	0	0	400	280	171	160	325	181	0	0	0	0	1607	454	0	0	79	45	194	91	0	0	0	0	815	47	1067	52	51	174	15	20	0	0	39	0	224	285	387	94	346	178	55	73	54	37	1	8	8	3	10	1	0	6	8	12	0	0	8	0	1	0	3	0	4	4	2	0	1
MALV-V	Alveolata	106	0	91	9	0	22	20	0	1248	15	1369	22	195	18	0	0	0	0	0	0	166	28	1150	137	88	9	431	53	67	17	1237	72	371	67	122	5	0	0	37	3	34	0	59	0	2456	75	1	0	1	0	2	10	0	1	1	0	11	7	2	1	0	0	1	9	0	0	0	5	0
Mamiellophyceae	Archaeplastida	0	0	0	0	0	0	0	0	14	0	1857	308	0	3	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	9477	1260	32	16	0	0	0	0	0	0	0	0	17	9	5439	2137	0	0	0	0	0	42	0	0	0	0	16	0	0	0	0	0	0	0	2	0	0	67	0
MarineOpisthokonts	Obazoa	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST-1	Stramenopiles	0	33	28	75	96	11	0	12	1371	491	348	126	30	27	0	0	0	16	0	29	248	27	158	79	575	153	0	0	0	57	88	26	267	81	41	48	0	9	114	58	28	18	80	60	733	519	0	1	0	0	4	16	0	2	2	1	2	16	2	9	0	0	2	5	7	0	1	6	10
MAST-10	Stramenopiles	0	0	0	24	0	5	22	0	0	0	0	8	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	6	0	12	9	0	20	0	0	0	0	22	6	0	0	11	11	106	64	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
MAST-11	Stramenopiles	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	32	5	18	9	0	0	0	0	0	0	45	17	120	66	0	0	0	0	0	0	0	0	0	0	101	55	0	0	0	0	0	4	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	5
MAST-12	Stramenopiles	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	37	0	0	0	7	4	20	0	0	0	92	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
MAST-13	Stramenopiles	0	0	0	9	0	0	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST-2	Stramenopiles	0	0	0	0	0	0	0	0	19	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST-22	Stramenopiles	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST-23	Stramenopiles	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST-25	Stramenopiles	0	0	21	0	0	0	0	0	0	0	84	0	49	0	0	0	0	0	0	0	84	0	84	0	0	0	0	0	0	0	21	0	150	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	1	0	7	0	0	0	0	2	0	1	1	0	0	0	3	0	0	0	1	9
MAST-3	Stramenopiles	0	0	18	8	0	0	79	8	2130	1179	496	229	110	18	0	0	7	3	0	4	8	134	172	163	10	0	0	0	0	11	24	25	96	242	0	13	0	4	37	3	0	14	37	28	208	335	2	0	1	0	4	8	1	1	2	3	14	22	7	6	0	1	1	10	0	2	2	10	14
MAST-4	Stramenopiles	0	0	29	6	107	0	0	0	663	334	359	205	27	31	0	0	0	11	65	28	24	159	168	158	11	2	0	0	8	56	158	136	336	273	3	0	0	0	40	20	26	14	30	0	744	958	1	0	0	0	1	20	0	1	4	1	17	15	3	7	0	0	0	3	2	2	1	16	19
MAST-6	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST-7	Stramenopiles	0	0	0	0	0	0	0	0	274	67	265	65	53	6	0	0	0	0	0	16	39	97	40	55	0	0	0	0	9	0	158	80	268	264	0	0	0	0	10	10	0	0	28	0	471	272	0	0	0	0	0	4	0	0	0	0	3	2	0	2	0	1	0	1	0	1	0	8	10
