Group	Supergroup	MP0311_HMM	MP0311_noHMM	MP0313_HMM	MP0313_noHMM	MP0315_HMM	MP0315_noHMM	MP0317_HMM	MP0317_noHMM	MP0319_HMM	MP0319_noHMM	MP0321_HMM	MP0321_noHMM	MP0323_HMM	MP0323_noHMM	MP0778_HMM	MP0778_noHMM	MP0784_HMM	MP0784_noHMM	MP0786_HMM	MP0786_noHMM	MP0788_HMM	MP0788_noHMM	MP0790_HMM	MP0790_noHMM	MP0878_HMM	MP0878_noHMM	MP0880_HMM	MP0880_noHMM	MP0882_HMM	MP0882_noHMM	MP0884_HMM	MP0884_noHMM	MP0886_HMM	MP0886_noHMM	MP0888_HMM	MP0888_noHMM	MP1154_HMM	MP1154_noHMM	MP1162_HMM	MP1162_noHMM	MP1164_HMM	MP1164_noHMM	MP1166_HMM	MP1166_noHMM	MP1174_HMM	MP1174_noHMM	MP1176_HMM	MP1176_noHMM	MP1178_HMM	MP1178_noHMM	MP1409_HMM	MP1409_noHMM	MP1411_HMM	MP1411_noHMM	MP1413_HMM	MP1413_noHMM	MP1415_HMM	MP1415_noHMM	MP1417_HMM	MP1417_noHMM	MP1419_HMM	MP1419_noHMM	MP1421_HMM	MP1421_noHMM	MP1517_HMM	MP1517_noHMM	MP1519_HMM	MP1519_noHMM	MP1521_HMM	MP1521_noHMM	MP1523_HMM	MP1523_noHMM	MP1525_HMM	MP1525_noHMM	MP1527_HMM	MP1527_noHMM	MP1529_HMM	MP1529_noHMM	MP1671_HMM	MP1671_noHMM	MP1672_HMM	MP1672_noHMM	MP1673-1675m_HMM	MP1673-1675m_noHMM	MP1674_HMM	MP1674_noHMM	MP1676_HMM	MP1676_noHMM	MP1677_HMM	MP1677_noHMM	MP1678_HMM	MP1678_noHMM	MP1679_HMM	MP1679_noHMM	MP1680_HMM	MP1680_noHMM	MP1681_HMM	MP1681_noHMM	MP1682_HMM	MP1682_noHMM	MP1683_HMM	MP1683_noHMM	MP1684_HMM	MP1684_noHMM	MP1845_HMM	MP1845_noHMM	MP1847_HMM	MP1847_noHMM	MP1849_HMM	MP1849_noHMM	MP1851_HMM	MP1851_noHMM	MP1853_HMM	MP1853_noHMM	MP1855_HMM	MP1855_noHMM	MP1857_HMM	MP1857_noHMM	MP2231_HMM	MP2231_noHMM	MP2233bis_HMM	MP2233bis_noHMM	MP2235_HMM	MP2235_noHMM	MP2239_HMM	MP2239_noHMM	MP2241_HMM	MP2241_noHMM	MP2243_HMM	MP2243_noHMM	MP2809_HMM	MP2809_noHMM	MP2811_HMM	MP2811_noHMM	MP2813_HMM	MP2813_noHMM	MP2815_HMM	MP2815_noHMM	MP2817_HMM	MP2817_noHMM	MP2819_HMM	MP2819_noHMM	MP2821_HMM	MP2821_noHMM
Ichthyosporea	Obazoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InSedAlveolata	Alveolata	0	0	0	0	0	0	1	1	1	1	0	0	4	4	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	2	2	1	1	2	2	1	1	3	3	0	0	0	0	2	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	1	1	1	0	0	0	0	42	46	0	0	1	1	0	0	1	1	20	21	0	0	2	3	3	3	15	17	2	2	48	53	3	3	0	0	0	0	1	1	0	0	1	1	1	1	1	2	0	0	5	5	2	2	0	0	2	2	1	1	2	2	1	1	0	0	2	2	2	2	1	1	1	1
InSedArchaeplastida	Archaeplastida	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	2
InSedEukaryota	Eukaryota	2	3	2	2	1	1	1	1	1	1	3	3	6	6	1	1	1	1	3	3	3	3	0	0	3	3	4	6	6	6	3	3	3	4	5	6	34	42	30	38	11	16	12	18	8	10	4	4	11	14	3	3	1	2	1	1	3	2	1	1	4	3	0	0	2	2	1	1	0	2	4	4	6	6	3	4	4	4	54	71	4	6	12	13	1	2	2	2	19	23	4	4	10	13	2	2	19	19	5	5	54	63	5	5	5	9	5	10	1	1	5	6	3	3	4	6	5	4	2	2	9	9	2	2	1	1	7	7	7	8	6	7	24	28	5	4	8	8	5	4	9	9	2	3
InSedObazoa	Obazoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	4	4	5	5	1	1	1	1	3	3	0	0	0	0	0	0	1	1	4	4	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	2	2	1	1	0	0	1	1	0	0	0	0	4	4	1	1	1	1	0	0	0	0	1	1	1	1	2	2	6	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0
InSedRhizaria	Rhizaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
InSedStramenopiles	Stramenopiles	0	0	0	0	0	0	0	0	2	2	1	1	8	8	0	0	0	0	0	0	3	3	3	3	0	0	2	2	2	2	0	0	5	5	4	5	3	3	1	1	3	3	2	2	5	5	0	1	4	5	2	2	3	3	1	1	1	1	5	5	0	0	1	1	0	0	1	1	0	0	2	2	1	1	3	2	2	2	1	1	2	2	5	6	4	4	0	0	4	5	1	1	3	3	0	0	2	2	2	3	1	1	1	1	1	1	1	1	1	1	4	4	2	2	2	2	0	0	0	0	2	2	0	0	3	4	1	1	0	0	1	1	2	2	1	1	1	1	1	1	3	3	0	0
Katablepharidae	Cryptista	0	0	0	0	0	0	0	0	1	1	1	1	0	0	4	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	3	3	0	0	0	0	0	0	1	1	2	2	4	4	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	4	4	0	0	3	3	0	0	3	4	0	0	15	15	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	10	11	0	0	1	1	0	0	0	0	0	0	0	0	4	4	6	6
Kinetoplastida	Excavata	2	2	4	6	8	12	3	6	3	3	0	0	0	0	0	0	0	1	0	1	2	4	0	0	508	698	361	450	108	140	15	22	51	57	12	16	81	114	19	26	5	6	6	10	0	1	2	3	5	8	0	0	1	1	1	1	0	1	0	0	0	0	0	0	3	5	3	3	21	38	3	3	0	0	1	2	2	2	1	2	4	7	2	2	11	14	2	2	2	3	3	6	1	3	3	3	1	1	1	1	0	0	0	0	56	72	23	34	36	52	17	23	11	16	5	7	1	3	3	3	1	1	14	15	3	3	0	0	0	0	2	2	7	12	1	1	0	0	0	0	0	0	1	1
Labyrinthulomycetes	Stramenopiles	5	4	0	0	0	0	1	1	10	10	1	1	4	4	5	4	0	0	4	4	11	11	2	2	1	1	0	0	3	3	5	5	4	4	10	8	1	1	0	0	3	3	4	4	7	6	2	2	7	7	1	1	0	0	2	2	4	4	24	25	20	21	0	0	1	1	1	1	0	0	2	1	13	13	25	25	7	7	10	11	2	2	0	0	1	1	1	1	1	1	7	7	0	0	8	8	0	0	4	5	20	19	4	3	0	0	1	1	0	0	1	2	7	6	4	4	1	1	2	2	5	5	7	7	7	7	4	5	5	5	1	1	0	0	3	3	1	1	3	3	1	1	2	2
MALV-I	Alveolata	104	107	8	9	40	41	96	96	81	84	181	187	131	135	78	83	26	28	113	117	72	77	367	399	18	23	65	67	70	73	56	58	116	120	70	74	22	21	53	62	86	92	74	80	142	152	70	73	78	83	38	40	66	72	70	71	87	88	116	124	160	168	64	65	74	77	31	31	50	53	123	129	88	90	62	65	124	136	926	960	97	103	216	218	12	12	40	42	752	781	97	100	864	886	62	66	767	803	92	94	675	712	120	125	0	0	24	26	55	61	74	74	116	122	112	116	111	122	55	59	153	157	95	103	58	62	120	124	86	89	59	67	16	18	65	69	99	105	102	106	131	135	97	103
MALV-II	Alveolata	180	194	85	90	153	154	255	264	358	372	203	206	356	367	62	71	23	25	333	348	70	73	50	53	70	74	543	571	374	401	87	95	450	472	182	189	98	100	299	318	368	390	265	281	335	356	139	149	181	201	241	250	335	356	250	257	226	240	215	222	599	630	99	100	155	160	119	120	143	150	251	257	211	225	170	176	215	230	144	144	274	286	37	39	50	54	113	118	77	79	171	177	104	109	152	160	93	96	369	388	199	207	286	294	11	12	111	115	206	222	350	363	372	382	203	207	161	172	321	339	313	325	298	311	181	190	200	210	120	128	227	229	41	42	148	160	257	271	493	513	279	292	251	261
MALV-III	Alveolata	11	13	0	0	1	1	2	2	7	7	14	16	11	10	3	3	0	0	3	3	0	0	3	3	2	2	2	2	3	3	3	3	9	10	11	13	1	1	3	3	6	7	3	3	36	39	5	5	3	3	0	0	3	3	2	2	5	5	13	14	3	3	17	19	7	7	1	1	2	2	2	2	3	3	2	2	6	5	20	22	22	23	8	10	0	0	0	0	11	12	11	11	11	11	6	6	8	10	6	6	8	10	19	19	0	0	3	4	1	1	4	4	3	2	17	17	17	17	3	3	3	3	8	9	4	4	32	34	10	12	3	3	0	0	3	3	14	14	2	2	16	18	15	16
MALV-IV	Alveolata	1	1	1	1	4	4	6	5	2	2	0	0	2	2	0	0	2	2	10	9	3	3	0	0	1	1	8	8	8	8	3	3	10	10	1	1	0	0	5	6	9	8	12	12	0	0	0	0	8	8	3	3	4	4	5	5	7	7	0	0	14	14	0	0	0	0	3	3	2	2	6	6	5	5	1	1	2	2	0	0	0	0	0	0	1	1	0	0	3	3	7	7	2	2	2	2	8	8	3	3	2	0	0	0	0	0	4	4	10	10	6	5	7	6	3	3	0	0	4	4	5	4	4	4	2	2	0	0	1	1	9	9	1	1	22	20	12	10	12	11	0	0	0	0
MALV-V	Alveolata	5	6	1	1	2	2	2	2	1	0	17	17	16	17	4	4	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	2	2	8	10	0	0	1	1	1	1	0	0	9	11	6	7	2	2	0	0	1	1	0	0	0	0	10	13	4	4	3	5	11	11	0	0	0	0	2	2	8	9	0	0	6	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	9	9	0	0	0	0	1	1	0	0	0	0	10	9	9	9	0	0	0	0	0	0	0	0	5	5	0	0	1	0	0	0	0	0	7	7	0	0	15	15	5	5
Mamiellophyceae	Archaeplastida	0	0	0	0	2	2	0	0	0	0	0	0	40	43	12	14	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	41	42	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0	0	0	0	0	1	1	18	18	0	0	8	9	0	0	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	2	2	0	0	0	0	75	67	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0
MarineOpisthokonts	Obazoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST-1	Stramenopiles	7	7	0	1	2	2	4	4	2	2	3	4	12	11	8	8	0	0	0	0	4	4	1	1	0	0	1	1	0	0	0	0	4	4	16	16	0	0	2	2	2	2	1	1	1	2	17	16	2	2	1	1	2	2	0	0	3	3	16	17	7	8	8	9	11	12	2	2	1	1	1	1	1	1	2	2	3	5	5	6	8	9	1	1	0	0	0	0	1	1	2	3	1	1	0	0	1	1	2	2	3	3	5	5	0	0	1	1	2	1	3	3	1	1	17	17	8	8	3	4	7	7	0	0	1	1	5	6	9	10	1	1	4	4	2	2	4	4	1	1	11	12	14	13
MAST-10	Stramenopiles	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST-11	Stramenopiles	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	2	0	0	0	0	0	0	0	0	0	0	3	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	3	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST-12	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2	2	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
MAST-2	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
MAST-25	Stramenopiles	0	0	0	0	0	0	0	0	0	0	2	1	6	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	7	7	0	0	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	2	2	0	0	3	3	2	2	0	0	0	0	0	0	0	0	0	0	3	3	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	0	0	0	0	0	0	0	0	1	1	9	8	0	0	0	0	0	0	0	0	0	0	1	1	9	9	0	0	0	0	0	0	0	0	0	0	7	7	0	0
MAST-3	Stramenopiles	7	7	1	1	2	2	1	1	1	1	8	8	10	10	27	27	0	1	3	3	4	4	4	3	2	2	0	0	1	1	0	0	4	4	8	8	1	1	1	1	2	2	3	3	15	14	22	22	6	7	1	1	1	1	1	1	3	3	13	11	6	6	3	3	6	5	0	0	0	0	2	2	4	3	9	9	4	4	21	20	5	6	3	3	0	0	1	1	6	6	1	1	18	20	0	0	9	9	1	1	61	57	11	10	0	0	1	1	2	2	2	2	0	0	15	15	8	9	1	1	0	0	2	2	2	2	10	10	15	14	3	3	1	1	3	3	14	13	3	3	21	21	31	32
MAST-4	Stramenopiles	5	6	1	1	0	0	0	0	0	0	6	6	8	9	5	5	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	19	20	0	0	1	1	3	4	1	1	15	17	14	15	3	3	0	0	0	0	1	1	1	1	9	10	0	0	10	10	11	11	0	0	0	0	1	1	2	2	1	2	11	12	0	0	7	7	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	11	11	3	5	0	0	0	2	2	2	1	1	16	16	19	19	0	0	0	0	1	1	7	8	1	1	9	10	4	5
MAST-6	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST-7	Stramenopiles	3	2	0	0	1	1	0	0	0	0	1	1	4	4	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	3	3	2	2	0	0	0	0	0	0	0	0	1	1	1	1	2	2	6	6	5	5	0	0	0	0	0	0	1	1	0	0	5	5	0	0	2	2	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	5	5	3	3	0	0	0	0	1	1	0	0	8	8	10	10	0	0	0	0	0	0	0	0	1	1	3	2	4	4
MAST-8	Stramenopiles	1	1	0	0	0	0	1	1	0	0	2	2	6	6	2	2	0	0	1	1	3	3	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	2	2	0	0	1	1	0	0	0	0	1	1	3	4	6	7	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	1	0	0	0	0	1	1	3	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1
MAST-9	Stramenopiles	2	2	0	0	0	0	1	1	0	0	2	2	1	1	3	3	0	0	3	3	1	1	20	21	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	4	4	2	2	0	0	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
Metazoa	Obazoa	11	12	16	16	5	5	7	7	13	12	2	1	46	47	4	4	12	12	18	17	15	13	13	13	9	9	20	21	16	16	23	24	36	38	5	6	12	10	8	9	20	21	10	11	52	54	9	9	26	26	13	14	11	11	13	14	7	7	14	13	59	63	9	7	25	20	5	5	23	25	83	85	14	14	59	59	27	27	780	771	27	27	812	859	13	13	11	12	1117	1185	37	40	721	740	23	25	386	393	12	13	373	376	10	10	4	5	15	13	8	8	8	8	25	26	2	2	3	3	8	8	53	56	3	3	25	25	53	54	44	42	24	25	3	4	12	12	9	8	12	12	5	6	20	22
MOCH-1	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	1	1
MOCH-2	Stramenopiles	0	0	0	0	0	0	0	0	0	0	4	4	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	6	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	3	3	0	0	0	0	1	1	0	0	0	0	2	4	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	5	5	0	0	5	5	3	3
MOCH-4	Stramenopiles	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	0	0	0	0	0	0	0	2	2	3	0	0	1	1	0	0	0	0	0	0	1	1	3	3	2	3	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
MOCH-5	Stramenopiles	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2
"NA"	Alveolata	8	6	2	1	2	2	7	7	7	7	8	8	15	14	2	2	0	0	6	5	0	0	4	3	4	2	3	2	2	2	4	3	8	7	5	4	2	2	5	5	15	13	3	3	8	6	7	6	1	1	1	1	10	8	6	6	7	5	5	5	11	9	5	4	2	2	3	3	5	3	9	8	11	9	3	2	5	4	123	102	10	10	13	11	1	0	1	0	43	43	4	4	57	45	4	3	46	41	7	6	101	94	14	11	1	1	1	1	4	3	4	2	6	6	8	7	8	7	4	4	10	8	7	7	2	1	19	14	4	3	3	3	0	0	3	2	6	6	7	5	2	3	7	6
"NA"	Archaeplastida	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	5	5	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
"NA"	Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NA"	"NA"	1	1	0	0	1	1	6	6	4	4	2	2	2	3	2	2	0	0	2	1	1	1	0	0	5	4	3	3	9	8	2	2	6	6	7	7	3	3	4	3	6	6	1	1	5	4	2	2	4	4	3	3	4	4	1	1	3	3	4	3	2	2	2	0	1	1	3	3	4	4	4	4	6	6	1	1	1	1	27	27	5	4	3	3	4	3	1	1	8	8	2	2	22	22	3	3	18	16	1	1	22	21	3	3	2	2	5	5	1	1	4	4	13	12	4	3	4	4	4	4	6	6	3	3	0	0	7	7	3	3	6	6	1	1	16	16	4	4	8	8	2	2	3	3
"NA"	Obazoa	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	4	4	1	1	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	3	2	1	1	1	1	1	1	0	0	3	3	0	0	8	7	3	3	5	4	1	1	0	0	2	2	0	0	2	1	0	0	2	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	5	15	13	1	0	0	0	0	0	1	1
"NA"	Rhizaria	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	3	2	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NA"	Stramenopiles	3	3	3	3	4	4	2	2	0	0	2	2	3	3	2	2	0	0	5	5	3	3	3	4	450	417	294	295	188	169	4	4	30	30	9	8	143	145	46	42	14	16	4	2	6	5	2	2	7	6	2	2	1	1	1	1	1	1	11	11	5	3	5	4	3	2	2	2	10	10	1	1	2	2	0	0	16	15	5	5	2	2	6	6	4	4	4	4	4	4	1	1	2	2	0	0	3	3	5	5	14	13	3	3	35	35	37	36	34	33	6	6	14	13	6	6	8	8	3	3	9	9	3	3	1	1	6	6	4	3	6	6	11	10	8	8	7	7	3	3	10	9	16	15
