Group	Supergroup	MP0311_HMM	MP0311_noHMM	MP0313_HMM	MP0313_noHMM	MP0315_HMM	MP0315_noHMM	MP0317_HMM	MP0317_noHMM	MP0319_HMM	MP0319_noHMM	MP0321_HMM	MP0321_noHMM	MP0323_HMM	MP0323_noHMM	MP0778_HMM	MP0778_noHMM	MP0784_HMM	MP0784_noHMM	MP0786_HMM	MP0786_noHMM	MP0788_HMM	MP0788_noHMM	MP0790_HMM	MP0790_noHMM	MP0878_HMM	MP0878_noHMM	MP0880_HMM	MP0880_noHMM	MP0882_HMM	MP0882_noHMM	MP0884_HMM	MP0884_noHMM	MP0886_HMM	MP0886_noHMM	MP0888_HMM	MP0888_noHMM	MP1154_HMM	MP1154_noHMM	MP1162_HMM	MP1162_noHMM	MP1164_HMM	MP1164_noHMM	MP1166_HMM	MP1166_noHMM	MP1174_HMM	MP1174_noHMM	MP1176_HMM	MP1176_noHMM	MP1178_HMM	MP1178_noHMM	MP1409_HMM	MP1409_noHMM	MP1411_HMM	MP1411_noHMM	MP1413_HMM	MP1413_noHMM	MP1415_HMM	MP1415_noHMM	MP1417_HMM	MP1417_noHMM	MP1419_HMM	MP1419_noHMM	MP1421_HMM	MP1421_noHMM	MP1517_HMM	MP1517_noHMM	MP1519_HMM	MP1519_noHMM	MP1521_HMM	MP1521_noHMM	MP1523_HMM	MP1523_noHMM	MP1525_HMM	MP1525_noHMM	MP1527_HMM	MP1527_noHMM	MP1529_HMM	MP1529_noHMM	MP1671_HMM	MP1671_noHMM	MP1672_HMM	MP1672_noHMM	MP1673-1675m_HMM	MP1673-1675m_noHMM	MP1674_HMM	MP1674_noHMM	MP1676_HMM	MP1676_noHMM	MP1677_HMM	MP1677_noHMM	MP1678_HMM	MP1678_noHMM	MP1679_HMM	MP1679_noHMM	MP1680_HMM	MP1680_noHMM	MP1681_HMM	MP1681_noHMM	MP1682_HMM	MP1682_noHMM	MP1683_HMM	MP1683_noHMM	MP1684_HMM	MP1684_noHMM	MP1845_HMM	MP1845_noHMM	MP1847_HMM	MP1847_noHMM	MP1849_HMM	MP1849_noHMM	MP1851_HMM	MP1851_noHMM	MP1853_HMM	MP1853_noHMM	MP1855_HMM	MP1855_noHMM	MP1857_HMM	MP1857_noHMM	MP2231_HMM	MP2231_noHMM	MP2233bis_HMM	MP2233bis_noHMM	MP2235_HMM	MP2235_noHMM	MP2239_HMM	MP2239_noHMM	MP2241_HMM	MP2241_noHMM	MP2243_HMM	MP2243_noHMM	MP2809_HMM	MP2809_noHMM	MP2811_HMM	MP2811_noHMM	MP2813_HMM	MP2813_noHMM	MP2815_HMM	MP2815_noHMM	MP2817_HMM	MP2817_noHMM	MP2819_HMM	MP2819_noHMM	MP2821_HMM	MP2821_noHMM
Charophyta	Archaeplastida	0	0	5	5	6	6	2	2	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	23	24	0	0	0	0	4	4	1	1	5	5	0	0	21	21	1	1	1	1	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Chlorarachniophyta	Rhizaria	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	3	3	0	0	0	0	0	0	0	0	3	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorodendrophyceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorophyceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Chloropicophyceae	Archaeplastida	0	0	1	1	3	3	0	0	1	1	0	0	10	11	1	1	0	0	2	2	0	0	164	179	0	0	0	0	0	0	2	2	0	0	1	1	0	1	0	0	0	0	0	0	7	11	0	0	0	0	0	0	1	2	1	1	0	0	7	7	0	0	5	6	0	1	0	0	0	0	0	0	0	0	1	1	0	0	39	41	34	38	2	3	0	0	2	2	0	0	0	0	3	3	1	2	1	3	1	1	42	48	38	46	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	1	1	17	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Choanomonada	Obazoa	2	2	0	0	0	0	0	0	0	0	4	4	1	1	2	2	0	0	13	12	0	0	0	0	4	4	0	0	0	0	2	2	1	1	4	4	0	0	0	0	2	2	0	0	1	1	5	5	2	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	2	2	2	2	0	0	0	0	0	0	0	0	1	1	13	12	2	2	6	6	0	0	0	0	3	3	0	0	8	7	1	1	3	3	1	1	16	17	3	3	2	1	0	0	1	1	0	0	3	3	4	4	5	5	0	0	0	0	0	0	0	0	1	1	2	3	3	4	0	0	31	35	2	2	0	0	5	5	8	9
Chrysophyceae	Stramenopiles	15	15	9	11	34	41	2	2	1	1	3	3	2	2	14	13	9	9	28	29	1	1	1	1	3057	3537	2103	2441	1289	1492	47	51	251	291	19	20	1089	1220	361	420	114	133	87	107	12	12	18	19	18	19	12	12	9	9	2	2	2	2	3	3	4	4	7	6	1	1	20	22	62	72	5	5	6	8	0	0	95	106	0	0	3	3	18	18	28	31	29	33	8	10	9	9	0	0	1	2	7	8	1	1	0	0	1	1	263	300	208	227	257	284	26	27	69	74	1	1	14	15	11	12	48	52	36	42	3	3	1	3	4	4	38	39	69	80	27	29	26	29	5	6	7	7	29	31
Ciliophora	Alveolata	2	2	6	5	3	3	9	9	8	8	1	1	5	5	3	3	0	0	2	2	6	6	0	0	12	11	2	3	7	7	1	1	8	8	9	10	3	3	5	5	6	7	4	5	15	16	2	3	3	4	1	1	1	1	4	4	5	5	8	8	10	10	17	17	0	0	1	1	18	18	6	6	10	10	4	3	6	6	30	28	2	1	46	45	1	1	1	1	110	113	6	6	49	55	0	1	91	91	9	9	45	45	5	5	1	1	2	2	2	2	1	1	3	3	3	3	4	5	6	6	7	8	9	9	9	9	9	9	2	2	2	2	0	0	0	0	4	4	8	8	7	7	4	4
Colpodellida	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	12	14	4	5	3	4	4	5	6	6	1	1	4	4	5	5	1	1	5	5	2	3	0	0	2	3	2	2	5	5	0	0	3	3	0	0	0	0	0	0	0	0	3	3	0	0	1	1	1	1	0	0	1	1	2	2	1	1	0	1	3	3	1	1	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4	4	6	6	1	1	2	2	5	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	3	3	0	0	2	2	0	0	0	0
Cryptomonadales	Cryptista	0	0	0	0	0	0	0	0	0	0	1	2	3	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	2	2	2	2	2	2	1	1	0	0	0	0	1	1	0	0	0	0	1	1	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	1	2	1	1	1	0	0	0	0
