Sample	Station	Depth	Layer	Layer2	Fraction	Approach	temp	cond	salinity	O2	Ocean	Sub_ocean	Long_prov	lat	long
MP2231	120	2800	Aphotic	Bathypelagic	Pico	mTags	1.85	3.16	34.67	2.32	PO	NPO	PNEC	10.759	-102.442
MP2233bis	120	2000	Aphotic	Bathypelagic	Pico	mTags	2.26	3.16	34.65	1.86	PO	NPO	PNEC	10.759	-102.442
MP2235	120	780	Aphotic	Mesopelagic	Pico	mTags	5.74	3.41	34.56	0.1	PO	NPO	PNEC	10.759	-102.442
MP2239	120	280	Aphotic	Mesopelagic	Pico	mTags	11.12	3.9	34.75	0.12	PO	NPO	PNEC	10.759	-102.442
MP2241	120	37	Photic	DCM	Pico	mTags	26.14	5.29	34.02	3.4	PO	NPO	PNEC	10.759	-102.442
MP2243	120	3	Photic	Surface	Pico	mTags	29.28	5.53	33.46	4.18	PO	NPO	PNEC	10.759	-102.442
MP2808	141	4000	Aphotic	Bathypelagic	Nano	mTags	2.44	3.27	34.91	5.22	AO	NAO	NASE	26.911	-32.837
MP2809	141	4000	Aphotic	Bathypelagic	Pico	mTags	2.44	3.27	34.91	5.22	AO	NAO	NASE	26.911	-32.837
MP2810	141	2500	Aphotic	Bathypelagic	Nano	mTags	3.18	3.29	34.99	5.25	AO	NAO	NASE	26.911	-32.837
MP2811	141	2500	Aphotic	Bathypelagic	Pico	mTags	3.18	3.29	34.99	5.25	AO	NAO	NASE	26.911	-32.837
MP2812	141	1000	Aphotic	Mesopelagic	Nano	mTags	7.63	3.65	35.25	3.59	AO	NAO	NASE	26.911	-32.837
MP2813	141	1000	Aphotic	Mesopelagic	Pico	mTags	7.63	3.65	35.25	3.59	AO	NAO	NASE	26.911	-32.837
MP2814	141	900	Aphotic	Mesopelagic	Nano	mTags	8.4	3.72	35.27	3.35	AO	NAO	NASE	26.911	-32.837
MP2815	141	900	Aphotic	Mesopelagic	Pico	mTags	8.4	3.72	35.27	3.35	AO	NAO	NASE	26.911	-32.837
MP2817	141	430	Aphotic	Mesopelagic	Pico	mTags	14.52	4.37	35.99	3.98	AO	NAO	NASE	26.911	-32.837
MP2818	141	150	Photic	DCM	Nano	mTags	20.05	5.05	36.99	4.62	AO	NAO	NASE	26.911	-32.837
MP2819	141	150	Photic	DCM	Pico	mTags	20.05	5.05	36.99	4.62	AO	NAO	NASE	26.911	-32.837
